dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
1969-12-30,0,0,"kcal","0","30",0,12
1969-12-31,0,0,"kcal","0","30",0,12
2019-01-09,0,0,"kcal","0","30",0,12
2019-01-10,3.54,0,"kcal","0","30",0,12
2019-02-11,0,0,"kcal","0","30",0,12
2019-02-12,314.551,1030,"kcal","21","30",5,12
2019-02-13,924.832,1030,"kcal","112","30",12,12
2019-02-14,572.543,1030,"kcal","72","30",6,12
2019-02-15,676.142,1030,"kcal","83","30",7,12
2019-02-16,980.296,1030,"kcal","84","30",13,12
2019-02-17,539.014,1030,"kcal","61","30",5,12
2019-02-18,777.181,1030,"kcal","74","30",8,12
2019-02-19,982.11,1030,"kcal","138","30",6,12
2019-02-20,975.552,1030,"kcal","107","30",11,12
2019-02-21,561.503,1030,"kcal","70","30",7,12
2019-02-22,1064.09,1030,"kcal","117","30",16,12
2019-02-23,766.089,1030,"kcal","102","30",6,12
2019-02-24,271.074,1030,"kcal","25","30",4,12
2019-02-25,908.159,1030,"kcal","98","30",11,12
2019-02-26,724.13,1030,"kcal","68","30",9,12
2019-02-27,1051.88,1030,"kcal","109","30",13,12
2019-02-28,1059.72,1030,"kcal","90","30",10,12
2019-03-01,798.682,1030,"kcal","96","30",10,12
2019-03-02,233.788,1030,"kcal","15","30",2,12
2019-03-03,776.017,1030,"kcal","111","30",6,12
2019-03-04,891.902,1030,"kcal","102","30",12,12
2019-03-05,66.949,1030,"kcal","7","30",2,12
