sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Tazi’s Apple Watch","5.1.2","<<HKDevice: 0x28312c690>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.2>",2019-02-13 08:14:38 +0100,2019-02-13 06:55:48 +0100,2019-02-13 08:14:37 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",78.81103443304697,"min",0,"mi",411.2320229633945,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312c7d0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-14 08:04:56 +0100,2019-02-14 06:55:57 +0100,2019-02-14 08:04:55 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",68.97053695122401,"min",0,"mi",347.1142519763343,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312c910>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-15 08:31:15 +0100,2019-02-15 07:24:43 +0100,2019-02-15 08:31:14 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",66.51724674900373,"min",0,"mi",363.9658134205703,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312ca50>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-16 10:07:56 +0100,2019-02-16 09:03:21 +0100,2019-02-16 10:07:56 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",64.576226268212,"min",0,"mi",239.5442309964079,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312caf0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-17 10:27:09 +0100,2019-02-17 09:02:07 +0100,2019-02-17 10:27:08 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",85.01594114899635,"min",0,"mi",343.7558440014731,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312cb90>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-18 08:07:14 +0100,2019-02-18 06:54:06 +0100,2019-02-18 08:07:14 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",73.12931761741638,"min",0,"mi",296.5535816549934,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312cc30>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-19 07:59:05 +0100,2019-02-19 06:54:52 +0100,2019-02-19 07:59:04 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",64.19629193345706,"min",0,"mi",329.3420243005536,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312cdc0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-19 11:45:33 +0100,2019-02-19 10:07:45 +0100,2019-02-19 11:45:31 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",97.75931309858957,"min",0,"mi",449.8968548951565,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312cf00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-20 08:08:13 +0100,2019-02-20 07:03:31 +0100,2019-02-20 08:08:12 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",64.6845628341039,"min",0,"mi",290.501636409939,"kcal"
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x28312cfa0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>",2019-02-21 08:17:55 +0100,2019-02-21 06:56:07 +0100,2019-02-21 07:43:21 +0100,"HKWorkoutActivityTypeHighIntensityIntervalTraining",47.23078662753105,"min",0,"mi",257.4805264822406,"kcal"
